"","x"
"Saltuarius.salebrosus",9.357168
"Saltuarius.cornutus.B",9.357168
"Saltuarius.wyberba",8.143848
"Saltuarius.moritzi",8.143848
"Saltuarius.swaini",9.525776
"Phyllurus.amnicola",11.268634
"Phyllurus.platurus",11.268634
"Phyllurus.gulbaru",13.413941
"Phyllurus.kabikabi",9.580575
"Phyllurus.championae",6.871164
"Phyllurus.isis",4.128757
"Phyllurus.ossa",4.128757
"Orraya.occultus",27.438303
"Carphodactylus.laevis",26.590866
"Uvidocolis.sphyrurus",22.997895
"Underwoodisaurus.milii.A",4.63178
"Underwoodisaurus.seorsus",4.63178
"Nephrurus.wheeleri.wheeleri",15.312042
"Nephrurus.asper",4.814622
"Nephrurus.amyae",3.516853
"Nephrurus.sheai.A",3.516853
"Nephrurus.vertebralis",8.085064
"Nephrurus.laevissimus",3.073774
"Nephrurus.deleani",3.073774
"Nephrurus.stellatus",8.840655
"Nephrurus.levis.occidentalis",8.840655
"Delma.concinna",13.330197
"Delma.torquata",9.259874
"Delma.australis",9.259874
"Delma.hebesa",14.703909
"Delma.mitella",13.656624
"Delma.nasuta",9.953724
"Delma.inornata",7.583701
"Delma.grayii",5.37068
"Delma.haroldi",0.78525
"Delma.butleri",0.78525
"Delma.petersoni",7.037712
"Delma.fraseri",7.037712
"Delma.plebeia",8.31293
"Delma.impar",5.302184
"Delma.molleri",5.302184
"Delma.labialis",8.303318
"Delma.elegans",8.303318
"Delma.borea",6.122861
"Delma.pax",2.135609
"Delma.desmosa",2.135609
"Delma.tincta",2.588007
"Delma.tealei",2.588007
"Pletholax.gracilis",21.226351
"Ophidiocephalus.taeniatus",17.78399
"Lialis.burtonis",17.78399
"Aprasia.picturata",6.890432
"Aprasia.pulchella",6.890432
"Aprasia.rostrata",5.75482
"Aprasia.repens",4.270302
"Aprasia.smithi",4.270302
"Aprasia.aurita",10.17169
"Aprasia.inaurita",8.195805
"Aprasia.striolata",6.545788
"Aprasia.pseudopulchella",1.820073
"Aprasia.parapulchella",1.820073
"Paradelma.orientalis",14.614086
"Pygopus.schraderi.B",5.336799
"Pygopus.nigriceps",5.336799
