,"formula is  #=LEFT(B3,FIND(""_"",B3)-1)",,,Formula
,x,genus,samp.frac,genus
1,Chelydra_serpentina,Chelydra,,Chelydra
2,Podocnemis_expansa,Podocnemis,,Podocnemis
3,Gallus_gallus,Gallus,,Gallus
4,Dromaius_novaehollandiae,Dromaius,,Dromaius
5,Crocodylus_porosus,Crocodylus,,Crocodylus
6,Alligator_mississippiensis,Alligator,,Alligator
7,Sphenodon_punctatus,Sphenodon,,Sphenodon
8,Dibamus_bourreti,Dibamus,0.318,Dibamus
9,Dibamus_montanus,Dibamus,0.318,Dibamus
10,Dibamus_greeri,Dibamus,0.318,Dibamus
11,Anelytropsis_papillosus,Anelytropsis,0.318,Anelytropsis
12,Dibamus_tiomanensis,Dibamus,0.318,Dibamus
13,Dibamus_novaeguineae,Dibamus,0.318,Dibamus
14,Dibamus_seramensis,Dibamus,0.318,Dibamus
15,Dibamus_celebensis,Dibamus,0.318,Dibamus
16,Phyllurus_kabikabi,Phyllurus,0.333,Phyllurus
17,Phyllurus_amnicola,Phyllurus,0.333,Phyllurus
18,Phyllurus_platurus,Phyllurus,0.333,Phyllurus
19,Saltuarius_salebrosus,Saltuarius,0.857,Saltuarius
20,Saltuarius_cornutus,Saltuarius,0.857,Saltuarius
21,Saltuarius_wyberba,Saltuarius,0.857,Saltuarius
22,Saltuarius_swaini,Saltuarius,0.857,Saltuarius
23,Saltuarius_moritzi,Saltuarius,0.857,Saltuarius
24,Saltuarius_kateae,Saltuarius,0.857,Saltuarius
25,Orraya_occultus,Orraya,1,Orraya
26,Carphodactylus_laevis,Carphodactylus,1,Carphodactylus
27,Uvidicolus_sphyrurus,Uvidicolus,1,Uvidicolus
28,Underwoodisaurus_milii,Underwoodisaurus,1,Underwoodisaurus
29,Nephrurus_wheeleri,Nephrurus,,Nephrurus
30,Nephrurus_asper,Nephrurus,,Nephrurus
31,Nephrurus_amyae,Nephrurus,,Nephrurus
32,Nephrurus_sheai,Nephrurus,,Nephrurus
33,Nephrurus_levis,Nephrurus,,Nephrurus
34,Nephrurus_stellatus,Nephrurus,,Nephrurus
35,Nephrurus_vertebralis,Nephrurus,,Nephrurus
36,Nephrurus_laevissimus,Nephrurus,,Nephrurus
37,Nephrurus_deleani,Nephrurus,,Nephrurus
38,Delma_concinna,Delma,,Delma
39,Delma_labialis,Delma,,Delma
40,Delma_torquata,Delma,,Delma
41,Delma_australis,Delma,,Delma
42,Delma_borea,Delma,,Delma
43,Delma_tincta,Delma,,Delma
44,Delma_pax,Delma,,Delma
45,Delma_mitella,Delma,,Delma
46,Delma_molleri,Delma,,Delma
47,Delma_impar,Delma,,Delma
48,Delma_nasuta,Delma,,Delma
49,Delma_butleri,Delma,,Delma
50,Delma_inornata,Delma,,Delma
51,Delma_fraseri,Delma,,Delma
52,Delma_grayii,Delma,,Delma
53,Ophidiocephalus_taeniatus,Ophidiocephalus,,Ophidiocephalus
54,Lialis_jicari,Lialis,,Lialis
55,Lialis_burtonis,Lialis,,Lialis
56,Pletholax_gracilis,Pletholax,,Pletholax
57,Paradelma_orientalis,Paradelma,,Paradelma
58,Pygopus_lepidopodus,Pygopus,,Pygopus
59,Pygopus_nigriceps,Pygopus,,Pygopus
60,Aprasia_aurita,Aprasia,,Aprasia
61,Aprasia_parapulchella,Aprasia,,Aprasia
